Timepoint,Time,Wavelength,Plate,Row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
T0,21/06/2021 16:14:10,750nm,Lid, A,0.286498,0.282412,0.290362,0.28519,0.284451,0.280936,0.280315,0.277351,0.278826,0.276138,0.277746,0.277102,0.276989,0.278557,0.274865,0.271869,0.271996,0.276286,0.269713,0.270579,0.271384,0.271088,0.272074,0.273597
T0,21/06/2021 16:14:10,750nm,Lid, B,0.285281,0.288,0.279484,0.285904,0.288255,0.280678,0.279797,0.27678,0.279541,0.277394,0.273406,0.27631,0.276888,0.27583,0.274526,0.273638,0.272206,0.273205,0.27356,0.269574,0.277763,0.272872,0.282313,0.275169
T0,21/06/2021 16:14:10,750nm,Lid, C,0.285053,0.284573,0.283046,0.283009,0.295269,0.281507,0.28181,0.276794,0.277633,0.273807,0.274855,0.275499,0.277039,0.27089,0.271436,0.2714,0.268579,0.2674,0.2664,0.268295,0.26514,0.267226,0.272593,0.274701
T0,21/06/2021 16:14:10,750nm,Lid, D,0.280063,0.28524,0.279872,0.282727,0.282358,0.282286,0.281409,0.276045,0.281074,0.276123,0.275681,0.274694,0.273623,0.27314,0.272302,0.272808,0.271205,0.266755,0.276085,0.270341,0.276774,0.267016,0.28129,0.282518
T0,21/06/2021 16:14:10,750nm,Lid, E,0.278221,0.281239,0.284553,0.283599,0.283889,0.281668,0.275904,0.272082,0.279463,0.269844,0.276227,0.272441,0.272381,0.269779,0.271728,0.272365,0.27124,0.275241,0.27122,0.274012,0.266635,0.271465,0.27668,0.271859
T0,21/06/2021 16:14:10,750nm,Lid, F,0.283284,0.285329,0.28544,0.282114,0.278974,0.280202,0.273527,0.269461,0.277824,0.273308,0.273185,0.271993,0.27386,0.272414,0.267655,0.269701,0.26832,0.268761,0.272194,0.270814,0.279208,0.265522,0.279329,0.28082
T0,21/06/2021 16:14:10,750nm,Lid, G,0.284901,0.285359,0.278978,0.283986,0.283701,0.281383,0.274256,0.268894,0.28318,0.269181,0.277943,0.271501,0.274594,0.270499,0.27218,0.272739,0.275066,0.272052,0.269358,0.260711,0.273966,0.273656,0.276154,0.268458
T0,21/06/2021 16:14:10,750nm,Lid, H,0.283805,0.287084,0.283344,0.278759,0.280264,0.283296,0.274592,0.267561,0.280387,0.272716,0.273287,0.270336,0.274051,0.272297,0.267155,0.269433,0.266575,0.260489,0.26934,0.272244,0.273309,0.26904,0.268035,0.275161
T0,21/06/2021 16:14:10,750nm,Lid, I,0.285827,0.284525,0.279436,0.273962,0.278861,0.267413,0.266361,0.263348,0.278501,0.263287,0.278714,0.267239,0.275037,0.273892,0.269463,0.268603,0.273614,0.270061,0.264154,0.25794,0.271515,0.271371,0.27479,0.266377
T0,21/06/2021 16:14:10,750nm,Lid, J,0.281329,0.282334,0.287799,0.273074,0.272944,0.28289,0.271415,0.263404,0.280752,0.271858,0.270706,0.268691,0.273234,0.274084,0.265525,0.267363,0.263777,0.257324,0.269173,0.271272,0.273709,0.262733,0.268449,0.272911
T0,21/06/2021 16:14:10,750nm,Lid, K,0.293065,0.285684,0.285197,0.275692,0.28365,0.285294,0.266824,0.266746,0.282419,0.267149,0.278523,0.268113,0.275303,0.273352,0.271257,0.272176,0.273919,0.273833,0.270839,0.259484,0.274364,0.275087,0.275268,0.269023
T0,21/06/2021 16:14:10,750nm,Lid, L,0.284572,0.286148,0.284939,0.279309,0.28042,0.282846,0.268661,0.26435,0.279552,0.272208,0.270496,0.265565,0.272149,0.27068,0.265808,0.271554,0.262555,0.261098,0.271579,0.274723,0.283119,0.266052,0.276382,0.278691
T0,21/06/2021 16:14:10,750nm,Lid, M,0.288026,0.284759,0.28639,0.275355,0.28577,0.281686,0.268776,0.266894,0.278912,0.266932,0.278208,0.265983,0.273297,0.265741,0.265625,0.268048,0.273203,0.271431,0.272611,0.256919,0.27228,0.271446,0.271872,0.268038
T0,21/06/2021 16:14:10,750nm,Lid, N,0.283365,0.285593,0.291652,0.275167,0.283727,0.282275,0.265419,0.266244,0.2813,0.268244,0.26603,0.265829,0.27007,0.268489,0.261774,0.268147,0.262882,0.259302,0.26661,0.274417,0.272913,0.264802,0.271238,0.277249
T0,21/06/2021 16:14:10,750nm,Lid, O,0.284527,0.280749,0.285884,0.279508,0.28634,0.282676,0.273603,0.2772,0.284457,0.27159,0.281551,0.269664,0.274872,0.26835,0.269339,0.267634,0.279142,0.277036,0.273347,0.263491,0.27733,0.276923,0.273556,0.269853
T0,21/06/2021 16:14:10,750nm,Lid, P,0.282758,0.278906,0.288387,0.279466,0.278605,0.284404,0.275442,0.273006,0.283433,0.274061,0.27073,0.274739,0.273854,0.278175,0.271705,0.274067,0.26609,0.269103,0.26953,0.276965,0.272109,0.267867,0.277707,0.283403
T0,21/06/2021 16:14:10,750nm,Breathe-Easy, A,0.279483,0.281682,0.279563,0.282227,0.28033,0.275449,0.279229,0.273834,0.277828,0.274646,0.275396,0.279246,0.27766,0.275185,0.271548,0.270496,0.275841,0.279345,0.275505,0.274284,0.273464,0.274177,0.273914,0.275296
T0,21/06/2021 16:14:10,750nm,Breathe-Easy, B,0.282255,0.280858,0.278622,0.278435,0.278238,0.276845,0.282456,0.278202,0.279441,0.274768,0.276492,0.277869,0.280135,0.275358,0.269107,0.270407,0.272533,0.276206,0.271572,0.273754,0.276271,0.276218,0.271789,0.280991
T0,21/06/2021 16:14:10,750nm,Breathe-Easy, C,0.276784,0.280378,0.278717,0.272972,0.280222,0.280897,0.277891,0.27517,0.27707,0.273036,0.274017,0.278362,0.277602,0.273183,0.275771,0.271672,0.274579,0.276327,0.274715,0.274355,0.271723,0.26963,0.274636,0.275472
T0,21/06/2021 16:14:10,750nm,Breathe-Easy, D,0.276082,0.281562,0.273461,0.27739,0.285077,0.279376,0.283423,0.279964,0.272941,0.271615,0.273159,0.277245,0.278107,0.273061,0.269649,0.272212,0.272155,0.270816,0.272485,0.269701,0.271433,0.276159,0.273205,0.282019
T0,21/06/2021 16:14:10,750nm,Breathe-Easy, E,0.281114,0.281133,0.270969,0.275697,0.274182,0.281219,0.279945,0.273399,0.278058,0.276724,0.272152,0.274886,0.278894,0.275841,0.276175,0.27891,0.271458,0.272914,0.271495,0.273508,0.274629,0.273828,0.274297,0.275953
T0,21/06/2021 16:14:10,750nm,Breathe-Easy, F,0.2822,0.27544,0.280891,0.279607,0.277414,0.275733,0.274402,0.276128,0.28217,0.277043,0.267585,0.272429,0.273447,0.276677,0.278855,0.273859,0.272525,0.271048,0.272763,0.274035,0.27341,0.276346,0.272737,0.276415
