Timepoint,Time,Wavelength,Plate,Row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
T0,09/06/2021 16:59:50,750nm,4000k, A,0.306662,0.304719,0.305676,0.3032,0.302577,0.296984,0.309354,0.303696,0.306652,0.30757,0.307327,0.305556,0.306637,0.306284,0.300975,0.306476,0.303752,0.307389,0.302549,0.303589,0.303067,0.30246,0.303928,0.305285
T0,09/06/2021 16:59:50,750nm,4000k, B,0.301977,0.304244,0.302139,0.306499,0.306577,0.303453,0.304859,0.305406,0.307255,0.315068,0.307493,0.303703,0.304142,0.307489,0.304555,0.303212,0.308227,0.307286,0.300586,0.304606,0.305099,0.30604,0.307707,0.307919
T0,09/06/2021 16:59:50,750nm,4000k, C,0.304577,0.302692,0.302862,0.305817,0.306473,0.298776,0.308039,0.307603,0.310675,0.305599,0.307414,0.308299,0.309464,0.307788,0.297242,0.308571,0.308194,0.304799,0.307133,0.306329,0.307555,0.30646,0.305223,0.305497
T0,09/06/2021 16:59:50,750nm,4000k, D,0.300614,0.30606,0.303332,0.307744,0.312342,0.30287,0.309278,0.301783,0.311776,0.303083,0.306949,0.304772,0.304324,0.303671,0.30668,0.302766,0.308178,0.307192,0.300561,0.307237,0.30645,0.303758,0.308902,0.309887
T0,09/06/2021 16:59:50,750nm,4000k, E,0.301979,0.304678,0.304867,0.30403,0.302995,0.301362,0.305537,0.305603,0.309811,0.308249,0.305667,0.308344,0.309972,0.304333,0.305902,0.304549,0.305704,0.302043,0.305681,0.300834,0.304002,0.301616,0.304711,0.304894
T0,09/06/2021 16:59:50,750nm,4000k, F,0.30113,0.304426,0.304633,0.310979,0.302863,0.301928,0.307943,0.303854,0.305429,0.303479,0.309264,0.301582,0.302356,0.305582,0.307359,0.300607,0.301962,0.304104,0.30029,0.307177,0.304978,0.298522,0.307667,0.308792
T0,09/06/2021 16:59:50,750nm,4000k, G,0.307133,0.307486,0.30652,0.305231,0.306127,0.30684,0.310637,0.306449,0.312144,0.310567,0.309944,0.312175,0.308975,0.310888,0.310383,0.303126,0.302905,0.303892,0.307057,0.302441,0.30216,0.301671,0.307869,0.298753
T0,09/06/2021 16:59:50,750nm,4000k, H,0.303464,0.307963,0.304513,0.306463,0.309499,0.307664,0.306192,0.309132,0.30527,0.303524,0.30859,0.303944,0.303243,0.305129,0.309101,0.303186,0.302749,0.304144,0.302465,0.302919,0.30429,0.300192,0.306747,0.310214
T0,09/06/2021 16:59:50,750nm,4000k, I,0.308753,0.30992,0.306978,0.306268,0.307726,0.30701,0.30973,0.307856,0.308805,0.306576,0.31198,0.310295,0.304797,0.309274,0.305217,0.300283,0.303252,0.301457,0.300495,0.299856,0.298462,0.305543,0.304926,0.293959
T0,09/06/2021 16:59:50,750nm,4000k, J,0.30501,0.308847,0.310123,0.30785,0.308742,0.308567,0.309897,0.308281,0.30985,0.308423,0.306297,0.306858,0.303715,0.303034,0.307717,0.301756,0.301361,0.300799,0.303879,0.301595,0.301694,0.298189,0.306922,0.3049
T0,09/06/2021 16:59:50,750nm,4000k, K,0.309632,0.310338,0.308985,0.310811,0.309286,0.309313,0.305732,0.305673,0.306933,0.305564,0.304248,0.309029,0.305879,0.305898,0.305682,0.303725,0.30529,0.304523,0.300544,0.305936,0.301326,0.302466,0.307344,0.298405
T0,09/06/2021 16:59:50,750nm,4000k, L,0.308369,0.309561,0.313136,0.308759,0.309668,0.303949,0.305263,0.305258,0.306469,0.307667,0.30453,0.310728,0.308613,0.30684,0.30672,0.306862,0.302832,0.303434,0.306634,0.301712,0.303949,0.300664,0.307182,0.305951
T0,09/06/2021 16:59:50,750nm,4000k, M,0.310038,0.309802,0.311276,0.310384,0.311422,0.308434,0.307202,0.311929,0.31145,0.31275,0.308412,0.310439,0.308378,0.309318,0.309697,0.305014,0.303411,0.303097,0.303022,0.303487,0.302486,0.30257,0.305672,0.302556
T0,09/06/2021 16:59:50,750nm,4000k, N,0.310572,0.309882,0.311646,0.308085,0.305486,0.306246,0.304112,0.310187,0.313349,0.312234,0.308888,0.313123,0.307606,0.306406,0.306842,0.306974,0.304835,0.307844,0.303151,0.305605,0.304593,0.304098,0.305513,0.306194
T0,09/06/2021 16:59:50,750nm,4000k, O,0.310354,0.302504,0.308656,0.310807,0.30864,0.309332,0.306941,0.309115,0.308578,0.310635,0.305794,0.312053,0.309002,0.309821,0.30898,0.307467,0.306819,0.295991,0.303129,0.302126,0.305328,0.306632,0.307236,0.3031
T0,09/06/2021 16:59:50,750nm,4000k, P,0.306754,0.308404,0.311057,0.310555,0.310172,0.307592,0.307854,0.307103,0.307956,0.306704,0.306931,0.302952,0.305161,0.310086,0.308489,0.304046,0.302588,0.3033,0.297314,0.303944,0.304941,0.301442,0.306817,0.307495
T0,09/06/2021 16:59:50,750nm,5000k, A,0.310663,0.307533,0.302613,0.304076,0.306115,0.304467,0.299872,0.299726,0.305207,0.301425,0.302619,0.301539,0.302488,0.303183,0.303777,0.294996,0.294712,0.293565,0.295212,0.293299,0.295019,0.298645,0.298245,0.304948
T0,09/06/2021 16:59:50,750nm,5000k, B,0.30471,0.303863,0.303093,0.305838,0.305114,0.299968,0.303416,0.305099,0.306324,0.306699,0.301369,0.305017,0.306271,0.302326,0.304706,0.293857,0.298233,0.29605,0.296448,0.293591,0.295993,0.303659,0.300072,0.298735
T0,09/06/2021 16:59:50,750nm,5000k, C,0.30708,0.304501,0.305612,0.303104,0.305522,0.303331,0.305786,0.306799,0.308969,0.303589,0.302526,0.302644,0.303148,0.302965,0.302828,0.29579,0.302536,0.295024,0.292153,0.298639,0.297244,0.298483,0.301191,0.296183
T0,09/06/2021 16:59:50,750nm,5000k, D,0.302276,0.304565,0.303615,0.306611,0.304995,0.302369,0.301449,0.299914,0.304846,0.30442,0.302074,0.304889,0.302564,0.299294,0.302093,0.292713,0.297145,0.2978,0.295689,0.298077,0.298703,0.299633,0.299954,0.299836
T0,09/06/2021 16:59:50,750nm,5000k, E,0.306508,0.302486,0.303396,0.305379,0.306809,0.304199,0.302072,0.304821,0.305299,0.305343,0.303877,0.2983,0.302827,0.303531,0.303183,0.29094,0.29402,0.286658,0.293242,0.299637,0.298195,0.298273,0.296722,0.29439
T0,09/06/2021 16:59:50,750nm,5000k, F,0.305116,0.307857,0.305665,0.305543,0.306212,0.303888,0.302163,0.302398,0.301585,0.306191,0.306173,0.305962,0.30734,0.297675,0.306368,0.291149,0.29206,0.295556,0.29208,0.298028,0.29737,0.297366,0.301881,0.300106
