sorting,Source.Plate.Name,well,volume,date,plate,Seal,Culture,platevol,day,Column,Row
2,Source[5],A01,77.517,07_15,1,PermASeal,Media,60,0,1,A
2,Source[5],A02,78.044,07_15,1,PermASeal,Media,60,0,2,A
2,Source[5],A03,79.041,07_15,1,PermASeal,Media,60,0,3,A
2,Source[5],A04,77.771,07_15,1,PermASeal,Media,60,0,4,A
2,Source[5],A05,78.279,07_15,1,PermASeal,Media,60,0,5,A
2,Source[5],A06,78.298,07_15,1,PermASeal,Media,60,0,6,A
2,Source[5],A07,78.963,07_15,1,PermASeal,Media,60,0,7,A
2,Source[5],A08,76.677,07_15,1,PermASeal,Media,60,0,8,A
2,Source[5],A09,78.377,07_15,1,PermASeal,Media,60,0,9,A
2,Source[5],A10,79.823,07_15,1,PermASeal,Media,60,0,10,A
2,Source[5],A11,79.823,07_15,1,PermASeal,Media,60,0,11,A
2,Source[5],A12,77.146,07_15,1,PermASeal,Media,60,0,12,A
2,Source[5],A13,78.533,07_15,1,PermASeal,Culture,60,0,13,A
2,Source[5],A14,77.751,07_15,1,PermASeal,Culture,60,0,14,A
2,Source[5],A15,78.924,07_15,1,PermASeal,Culture,60,0,15,A
2,Source[5],A16,78.631,07_15,1,PermASeal,Culture,60,0,16,A
2,Source[5],A17,78.65,07_15,1,PermASeal,Culture,60,0,17,A
2,Source[5],A18,78.416,07_15,1,PermASeal,Culture,60,0,18,A
2,Source[5],A19,78.689,07_15,1,PermASeal,Culture,60,0,19,A
2,Source[5],A20,77.087,07_15,1,PermASeal,Culture,60,0,20,A
2,Source[5],A21,79.608,07_15,1,PermASeal,Culture,60,0,21,A
2,Source[5],A22,78.728,07_15,1,PermASeal,Culture,60,0,22,A
2,Source[5],A23,77.654,07_15,1,PermASeal,Culture,60,0,23,A
2,Source[5],A24,73.316,07_15,1,PermASeal,Culture,60,0,24,A
2,Source[5],B01,77.79,07_15,1,PermASeal,Media,60,0,1,B
2,Source[5],B02,78.904,07_15,1,PermASeal,Media,60,0,2,B
2,Source[5],B03,79.197,07_15,1,PermASeal,Media,60,0,3,B
2,Source[5],B04,78.67,07_15,1,PermASeal,Media,60,0,4,B
2,Source[5],B05,80.428,07_15,1,PermASeal,Media,60,0,5,B
2,Source[5],B06,79.705,07_15,1,PermASeal,Media,60,0,6,B
2,Source[5],B07,80.975,07_15,1,PermASeal,Media,60,0,7,B
2,Source[5],B08,78.904,07_15,1,PermASeal,Media,60,0,8,B
2,Source[5],B09,79.764,07_15,1,PermASeal,Media,60,0,9,B
2,Source[5],B10,79.94,07_15,1,PermASeal,Media,60,0,10,B
2,Source[5],B11,78.455,07_15,1,PermASeal,Media,60,0,11,B
2,Source[5],B12,78.709,07_15,1,PermASeal,Media,60,0,12,B
2,Source[5],B13,80.272,07_15,1,PermASeal,Culture,60,0,13,B
2,Source[5],B14,79.647,07_15,1,PermASeal,Culture,60,0,14,B
2,Source[5],B15,79.217,07_15,1,PermASeal,Culture,60,0,15,B
2,Source[5],B16,78.455,07_15,1,PermASeal,Culture,60,0,16,B
2,Source[5],B17,80.096,07_15,1,PermASeal,Culture,60,0,17,B
