elapsed_time,distance,sensor,x_pos,y_pos,value,condition,position,section,section2
0,0.3,1_1,1,1,52.77,0.3 cm,1,Outside,Corner
53,0.3,1_1,1,1,54.62,0.3 cm,1,Outside,Corner
106,0.3,1_1,1,1,53.31,0.3 cm,1,Outside,Corner
159,0.3,1_1,1,1,54.15,0.3 cm,1,Outside,Corner
212,0.3,1_1,1,1,53.15,0.3 cm,1,Outside,Corner
266,0.3,1_1,1,1,54,0.3 cm,1,Outside,Corner
319,0.3,1_1,1,1,53.15,0.3 cm,1,Outside,Corner
372,0.3,1_1,1,1,54.46,0.3 cm,1,Outside,Corner
425,0.3,1_1,1,1,53.15,0.3 cm,1,Outside,Corner
480,0.3,1_1,1,1,54.08,0.3 cm,1,Outside,Corner
533,0.3,1_1,1,1,53.08,0.3 cm,1,Outside,Corner
586,0.3,1_1,1,1,54.92,0.3 cm,1,Outside,Corner
640,0.3,1_1,1,1,53.54,0.3 cm,1,Outside,Corner
693,0.3,1_1,1,1,54.15,0.3 cm,1,Outside,Corner
747,0.3,1_1,1,1,53,0.3 cm,1,Outside,Corner
800,0.3,1_1,1,1,54.23,0.3 cm,1,Outside,Corner
854,0.3,1_1,1,1,53.31,0.3 cm,1,Outside,Corner
907,0.3,1_1,1,1,54.85,0.3 cm,1,Outside,Corner
960,0.3,1_1,1,1,53.38,0.3 cm,1,Outside,Corner
1013,0.3,1_1,1,1,53.69,0.3 cm,1,Outside,Corner
1068,0.3,1_1,1,1,53,0.3 cm,1,Outside,Corner
1121,0.3,1_1,1,1,54.31,0.3 cm,1,Outside,Corner
1174,0.3,1_1,1,1,53.23,0.3 cm,1,Outside,Corner
1227,0.3,1_1,1,1,54.31,0.3 cm,1,Outside,Corner
1281,0.3,1_1,1,1,52.54,0.3 cm,1,Outside,Corner
1334,0.3,1_1,1,1,54.62,0.3 cm,1,Outside,Corner
1388,0.3,1_1,1,1,53.54,0.3 cm,1,Outside,Corner
1441,0.3,1_1,1,1,54.92,0.3 cm,1,Outside,Corner
1495,0.3,1_1,1,1,52.92,0.3 cm,1,Outside,Corner
1549,0.3,1_1,1,1,54,0.3 cm,1,Outside,Corner
1602,0.3,1_1,1,1,53.31,0.3 cm,1,Outside,Corner
1655,0.3,1_1,1,1,55,0.3 cm,1,Outside,Corner
1710,0.3,1_1,1,1,52.92,0.3 cm,1,Outside,Corner
1763,0.3,1_1,1,1,53.92,0.3 cm,1,Outside,Corner
1816,0.3,1_1,1,1,53.08,0.3 cm,1,Outside,Corner
1870,0.3,1_1,1,1,54.23,0.3 cm,1,Outside,Corner
1924,0.3,1_1,1,1,53.77,0.3 cm,1,Outside,Corner
1977,0.3,1_1,1,1,54.31,0.3 cm,1,Outside,Corner
2030,0.3,1_1,1,1,53.08,0.3 cm,1,Outside,Corner
2083,0.3,1_1,1,1,54.23,0.3 cm,1,Outside,Corner
2138,0.3,1_1,1,1,53.62,0.3 cm,1,Outside,Corner
2191,0.3,1_1,1,1,54.15,0.3 cm,1,Outside,Corner
2244,0.3,1_1,1,1,53.15,0.3 cm,1,Outside,Corner
2297,0.3,1_1,1,1,54,0.3 cm,1,Outside,Corner
2352,0.3,1_1,1,1,53.23,0.3 cm,1,Outside,Corner
2405,0.3,1_1,1,1,54.92,0.3 cm,1,Outside,Corner
2458,0.3,1_1,1,1,53.15,0.3 cm,1,Outside,Corner
2511,0.3,1_1,1,1,53.85,0.3 cm,1,Outside,Corner
2566,0.3,1_1,1,1,53.08,0.3 cm,1,Outside,Corner
2618,0.3,1_1,1,1,54.46,0.3 cm,1,Outside,Corner
2672,0.3,1_1,1,1,53.38,0.3 cm,1,Outside,Corner
2725,0.3,1_1,1,1,54,0.3 cm,1,Outside,Corner
2779,0.3,1_1,1,1,52.85,0.3 cm,1,Outside,Corner
2833,0.3,1_1,1,1,54.23,0.3 cm,1,Outside,Corner
2886,0.3,1_1,1,1,53.15,0.3 cm,1,Outside,Corner
2939,0.3,1_1,1,1,54.62,0.3 cm,1,Outside,Corner
2993,0.3,1_1,1,1,52.92,0.3 cm,1,Outside,Corner
3047,0.3,1_1,1,1,54.15,0.3 cm,1,Outside,Corner
3100,0.3,1_1,1,1,53.15,0.3 cm,1,Outside,Corner
3153,0.3,1_1,1,1,55.08,0.3 cm,1,Outside,Corner
3207,0.3,1_1,1,1,53.08,0.3 cm,1,Outside,Corner
3261,0.3,1_1,1,1,54.38,0.3 cm,1,Outside,Corner
3314,0.3,1_1,1,1,53.23,0.3 cm,1,Outside,Corner
3367,0.3,1_1,1,1,54.54,0.3 cm,1,Outside,Corner
3422,0.3,1_1,1,1,53.46,0.3 cm,1,Outside,Corner
3475,0.3,1_1,1,1,54.31,0.3 cm,1,Outside,Corner
3528,0.3,1_1,1,1,53,0.3 cm,1,Outside,Corner
3581,0.3,1_1,1,1,54,0.3 cm,1,Outside,Corner
3635,0.3,1_1,1,1,53.46,0.3 cm,1,Outside,Corner
3689,0.3,1_1,1,1,54.15,0.3 cm,1,Outside,Corner
3742,0.3,1_1,1,1,53.08,0.3 cm,1,Outside,Corner
3795,0.3,1_1,1,1,53.77,0.3 cm,1,Outside,Corner
3849,0.3,1_1,1,1,53.23,0.3 cm,1,Outside,Corner
3903,0.3,1_1,1,1,54.85,0.3 cm,1,Outside,Corner
3956,0.3,1_1,1,1,53.38,0.3 cm,1,Outside,Corner
4009,0.3,1_1,1,1,54.08,0.3 cm,1,Outside,Corner
4063,0.3,1_1,1,1,53.08,0.3 cm,1,Outside,Corner
4117,0.3,1_1,1,1,55,0.3 cm,1,Outside,Corner
4170,0.3,1_1,1,1,53.46,0.3 cm,1,Outside,Corner
4224,0.3,1_1,1,1,54.69,0.3 cm,1,Outside,Corner
4278,0.3,1_1,1,1,52.92,0.3 cm,1,Outside,Corner
4331,0.3,1_1,1,1,54.23,0.3 cm,1,Outside,Corner
4384,0.3,1_1,1,1,53.15,0.3 cm,1,Outside,Corner
4438,0.3,1_1,1,1,54.54,0.3 cm,1,Outside,Corner
4492,0.3,1_1,1,1,53.15,0.3 cm,1,Outside,Corner
4545,0.3,1_1,1,1,53.77,0.3 cm,1,Outside,Corner
4599,0.3,1_1,1,1,53,0.3 cm,1,Outside,Corner
4653,0.3,1_1,1,1,54.69,0.3 cm,1,Outside,Corner
4706,0.3,1_1,1,1,53.31,0.3 cm,1,Outside,Corner
4759,0.3,1_1,1,1,54,0.3 cm,1,Outside,Corner
4812,0.3,1_1,1,1,52.92,0.3 cm,1,Outside,Corner
4866,0.3,1_1,1,1,54.77,0.3 cm,1,Outside,Corner
4920,0.3,1_1,1,1,53.77,0.3 cm,1,Outside,Corner
4973,0.3,1_1,1,1,54.46,0.3 cm,1,Outside,Corner
5026,0.3,1_1,1,1,53,0.3 cm,1,Outside,Corner
5080,0.3,1_1,1,1,54.38,0.3 cm,1,Outside,Corner
5134,0.3,1_1,1,1,53.46,0.3 cm,1,Outside,Corner
5187,0.3,1_1,1,1,54.85,0.3 cm,1,Outside,Corner
5240,0.3,1_1,1,1,53.15,0.3 cm,1,Outside,Corner
5295,0.3,1_1,1,1,54,0.3 cm,1,Outside,Corner
5348,0.3,1_1,1,1,53.15,0.3 cm,1,Outside,Corner
5401,0.3,1_1,1,1,54.69,0.3 cm,1,Outside,Corner
5455,0.3,1_1,1,1,53.23,0.3 cm,1,Outside,Corner
5509,0.3,1_1,1,1,54.31,0.3 cm,1,Outside,Corner
5562,0.3,1_1,1,1,53.15,0.3 cm,1,Outside,Corner
5615,0.3,1_1,1,1,54.31,0.3 cm,1,Outside,Corner
5669,0.3,1_1,1,1,53.69,0.3 cm,1,Outside,Corner
5723,0.3,1_1,1,1,54.31,0.3 cm,1,Outside,Corner
5777,0.3,1_1,1,1,53,0.3 cm,1,Outside,Corner
5830,0.3,1_1,1,1,54.08,0.3 cm,1,Outside,Corner
5884,0.3,1_1,1,1,53.31,0.3 cm,1,Outside,Corner
5938,0.3,1_1,1,1,54.38,0.3 cm,1,Outside,Corner
5991,0.3,1_1,1,1,53.08,0.3 cm,1,Outside,Corner
6044,0.3,1_1,1,1,53.77,0.3 cm,1,Outside,Corner
6098,0.3,1_1,1,1,53.08,0.3 cm,1,Outside,Corner
6152,0.3,1_1,1,1,54.85,0.3 cm,1,Outside,Corner
6205,0.3,1_1,1,1,53.08,0.3 cm,1,Outside,Corner
6259,0.3,1_1,1,1,53.92,0.3 cm,1,Outside,Corner
6312,0.3,1_1,1,1,53.15,0.3 cm,1,Outside,Corner
6366,0.3,1_1,1,1,54.92,0.3 cm,1,Outside,Corner
6420,0.3,1_1,1,1,53.54,0.3 cm,1,Outside,Corner
6473,0.3,1_1,1,1,54.08,0.3 cm,1,Outside,Corner
6526,0.3,1_1,1,1,53.08,0.3 cm,1,Outside,Corner
6580,0.3,1_1,1,1,54.23,0.3 cm,1,Outside,Corner
6633,0.3,1_1,1,1,53.08,0.3 cm,1,Outside,Corner
6686,0.3,1_1,1,1,54.77,0.3 cm,1,Outside,Corner
6740,0.3,1_1,1,1,53.15,0.3 cm,1,Outside,Corner
6794,0.3,1_1,1,1,54,0.3 cm,1,Outside,Corner
6847,0.3,1_1,1,1,53.23,0.3 cm,1,Outside,Corner
6901,0.3,1_1,1,1,55.15,0.3 cm,1,Outside,Corner
6955,0.3,1_1,1,1,53.15,0.3 cm,1,Outside,Corner
7008,0.3,1_1,1,1,54.08,0.3 cm,1,Outside,Corner
7061,0.3,1_1,1,1,52.85,0.3 cm,1,Outside,Corner
7115,0.3,1_1,1,1,54.23,0.3 cm,1,Outside,Corner
7169,0.3,1_1,1,1,53.15,0.3 cm,1,Outside,Corner
7222,0.3,1_1,1,1,54.08,0.3 cm,1,Outside,Corner
7275,0.3,1_1,1,1,52.69,0.3 cm,1,Outside,Corner
7329,0.3,1_1,1,1,54.23,0.3 cm,1,Outside,Corner
7383,0.3,1_1,1,1,53.23,0.3 cm,1,Outside,Corner
7436,0.3,1_1,1,1,54.54,0.3 cm,1,Outside,Corner
7489,0.3,1_1,1,1,53.15,0.3 cm,1,Outside,Corner
7543,0.3,1_1,1,1,54,0.3 cm,1,Outside,Corner
7598,0.3,1_1,1,1,53.08,0.3 cm,1,Outside,Corner
7651,0.3,1_1,1,1,54.69,0.3 cm,1,Outside,Corner
7705,0.3,1_1,1,1,53.15,0.3 cm,1,Outside,Corner
7758,0.3,1_1,1,1,53.69,0.3 cm,1,Outside,Corner
7812,0.3,1_1,1,1,53.15,0.3 cm,1,Outside,Corner
7866,0.3,1_1,1,1,54.23,0.3 cm,1,Outside,Corner
7919,0.3,1_1,1,1,53.31,0.3 cm,1,Outside,Corner
7972,0.3,1_1,1,1,54.23,0.3 cm,1,Outside,Corner
8026,0.3,1_1,1,1,52.46,0.3 cm,1,Outside,Corner
8080,0.3,1_1,1,1,54.15,0.3 cm,1,Outside,Corner
8133,0.3,1_1,1,1,53.46,0.3 cm,1,Outside,Corner
8186,0.3,1_1,1,1,54.23,0.3 cm,1,Outside,Corner
8240,0.3,1_1,1,1,53,0.3 cm,1,Outside,Corner
8294,0.3,1_1,1,1,54,0.3 cm,1,Outside,Corner
8347,0.3,1_1,1,1,53.15,0.3 cm,1,Outside,Corner
8400,0.3,1_1,1,1,54.85,0.3 cm,1,Outside,Corner
8455,0.3,1_1,1,1,53.23,0.3 cm,1,Outside,Corner
8508,0.3,1_1,1,1,53.69,0.3 cm,1,Outside,Corner
8561,0.3,1_1,1,1,53,0.3 cm,1,Outside,Corner
8614,0.3,1_1,1,1,54.08,0.3 cm,1,Outside,Corner
8669,0.3,1_1,1,1,53.85,0.3 cm,1,Outside,Corner
8722,0.3,1_1,1,1,54.23,0.3 cm,1,Outside,Corner
8775,0.3,1_1,1,1,52.69,0.3 cm,1,Outside,Corner
8828,0.3,1_1,1,1,54.15,0.3 cm,1,Outside,Corner
8883,0.3,1_1,1,1,53.31,0.3 cm,1,Outside,Corner
8936,0.3,1_1,1,1,54.46,0.3 cm,1,Outside,Corner
8989,0.3,1_1,1,1,52.69,0.3 cm,1,Outside,Corner
9043,0.3,1_1,1,1,54,0.3 cm,1,Outside,Corner
9097,0.3,1_1,1,1,53.31,0.3 cm,1,Outside,Corner
9151,0.3,1_1,1,1,54.85,0.3 cm,1,Outside,Corner
9204,0.3,1_1,1,1,53.38,0.3 cm,1,Outside,Corner
9259,0.3,1_1,1,1,54.15,0.3 cm,1,Outside,Corner
9312,0.3,1_1,1,1,53.15,0.3 cm,1,Outside,Corner
9365,0.3,1_1,1,1,54.92,0.3 cm,1,Outside,Corner
9419,0.3,1_1,1,1,53.31,0.3 cm,1,Outside,Corner
9473,0.3,1_1,1,1,54.38,0.3 cm,1,Outside,Corner
9526,0.3,1_1,1,1,53,0.3 cm,1,Outside,Corner
9580,0.3,1_1,1,1,54.54,0.3 cm,1,Outside,Corner
9633,0.3,1_1,1,1,53.69,0.3 cm,1,Outside,Corner
9687,0.3,1_1,1,1,54.54,0.3 cm,1,Outside,Corner
9741,0.3,1_1,1,1,53,0.3 cm,1,Outside,Corner
9794,0.3,1_1,1,1,54.31,0.3 cm,1,Outside,Corner
9848,0.3,1_1,1,1,53.31,0.3 cm,1,Outside,Corner
9902,0.3,1_1,1,1,54.54,0.3 cm,1,Outside,Corner
9955,0.3,1_1,1,1,53.23,0.3 cm,1,Outside,Corner
10009,0.3,1_1,1,1,54.15,0.3 cm,1,Outside,Corner
10062,0.3,1_1,1,1,53.15,0.3 cm,1,Outside,Corner
10116,0.3,1_1,1,1,54.31,0.3 cm,1,Outside,Corner
10170,0.3,1_1,1,1,53.15,0.3 cm,1,Outside,Corner
0,0.5,1_1,1,1,44.85,0.5 cm,1,Outside,Corner
53,0.5,1_1,1,1,46.46,0.5 cm,1,Outside,Corner
106,0.5,1_1,1,1,45.08,0.5 cm,1,Outside,Corner
159,0.5,1_1,1,1,46,0.5 cm,1,Outside,Corner
214,0.5,1_1,1,1,44.54,0.5 cm,1,Outside,Corner
267,0.5,1_1,1,1,46.08,0.5 cm,1,Outside,Corner
