plate_ID,timepoint,well,time,wavelength,datetime,measurement_ID,OD
2973,T0,A01,23-08-05 20-43-03,750,2023-08-05T20:43:03Z,2973_750,0.1262
2973,T0,A01,23-08-05 20-47-08,634,2023-08-05T20:47:08Z,2973_634,0.1485
2973,T0,A02,23-08-05 20-43-03,750,2023-08-05T20:43:03Z,2973_750,0.1053
2973,T0,A02,23-08-05 20-47-08,634,2023-08-05T20:47:08Z,2973_634,0.123
2973,T0,A03,23-08-05 20-43-03,750,2023-08-05T20:43:03Z,2973_750,0.111
2973,T0,A03,23-08-05 20-47-08,634,2023-08-05T20:47:08Z,2973_634,0.1263
2973,T0,A04,23-08-05 20-43-03,750,2023-08-05T20:43:03Z,2973_750,0.1054
2973,T0,A04,23-08-05 20-47-08,634,2023-08-05T20:47:08Z,2973_634,0.1114
2973,T0,A05,23-08-05 20-43-03,750,2023-08-05T20:43:03Z,2973_750,0.1103
2973,T0,A05,23-08-05 20-47-08,634,2023-08-05T20:47:08Z,2973_634,0.1144
2973,T0,A06,23-08-05 20-43-03,750,2023-08-05T20:43:03Z,2973_750,0.1336
2973,T0,A06,23-08-05 20-47-08,634,2023-08-05T20:47:08Z,2973_634,0.16
2973,T0,A07,23-08-05 20-43-03,750,2023-08-05T20:43:03Z,2973_750,0.1089
2973,T0,A07,23-08-05 20-47-08,634,2023-08-05T20:47:08Z,2973_634,0.1284
2973,T0,A08,23-08-05 20-43-03,750,2023-08-05T20:43:03Z,2973_750,0.111
2973,T0,A08,23-08-05 20-47-08,634,2023-08-05T20:47:08Z,2973_634,0.1281
2973,T0,A09,23-08-05 20-43-03,750,2023-08-05T20:43:03Z,2973_750,0.1112
2973,T0,A09,23-08-05 20-47-08,634,2023-08-05T20:47:08Z,2973_634,0.1265
2973,T0,A10,23-08-05 20-43-03,750,2023-08-05T20:43:03Z,2973_750,0.1028
2973,T0,A10,23-08-05 20-47-08,634,2023-08-05T20:47:08Z,2973_634,0.1234
