measurement_ID,plate_ID,timepoint,wavelength,well,value_ID,well_type,Compound,Concentration,OD
gradient_444,gradient,T0,444,A01,gradient_444.A01,NA,NA,NA,0.3354
gradient_444,gradient,T0,444,A02,gradient_444.A02,NA,NA,NA,0.3228
gradient_444,gradient,T0,444,A03,gradient_444.A03,NA,NA,NA,0.3514
gradient_444,gradient,T0,444,A04,gradient_444.A04,NA,NA,NA,0.3629
gradient_444,gradient,T0,444,A05,gradient_444.A05,NA,NA,NA,0.3639
gradient_444,gradient,T0,444,A06,gradient_444.A06,NA,NA,NA,0.3485
gradient_444,gradient,T0,444,A07,gradient_444.A07,NA,NA,NA,0.3657
gradient_444,gradient,T0,444,A08,gradient_444.A08,NA,NA,NA,0.3789
gradient_444,gradient,T0,444,A09,gradient_444.A09,NA,NA,NA,0.3546
gradient_444,gradient,T0,444,A10,gradient_444.A10,NA,NA,NA,0.3479
gradient_444,gradient,T0,444,A11,gradient_444.A11,NA,NA,NA,0.3419
gradient_444,gradient,T0,444,A12,gradient_444.A12,NA,NA,NA,0.3429
gradient_444,gradient,T0,444,A13,gradient_444.A13,NA,NA,NA,0.3676
gradient_444,gradient,T0,444,A14,gradient_444.A14,NA,NA,NA,0.3548
gradient_444,gradient,T0,444,A15,gradient_444.A15,NA,NA,NA,0.3425
gradient_444,gradient,T0,444,A16,gradient_444.A16,NA,NA,NA,0.359
gradient_444,gradient,T0,444,A17,gradient_444.A17,NA,NA,NA,0.347
gradient_444,gradient,T0,444,A18,gradient_444.A18,NA,NA,NA,0.3562
gradient_444,gradient,T0,444,A19,gradient_444.A19,NA,NA,NA,0.3665
gradient_444,gradient,T0,444,A20,gradient_444.A20,NA,NA,NA,0.3608
gradient_444,gradient,T0,444,A21,gradient_444.A21,NA,NA,NA,0.3712
gradient_444,gradient,T0,444,A22,gradient_444.A22,NA,NA,NA,0.3602
gradient_444,gradient,T0,444,A23,gradient_444.A23,NA,NA,NA,0.3676
gradient_444,gradient,T0,444,A24,gradient_444.A24,NA,NA,NA,0.3284
gradient_444,gradient,T0,444,B01,gradient_444.B01,NA,NA,NA,0.3215
gradient_444,gradient,T0,444,B02,gradient_444.B02,Control,DMSO,5,0.3188
gradient_444,gradient,T0,444,B03,gradient_444.B03,Experimental,PHENYLMERCURIC ACETATE,5,0.3232
gradient_444,gradient,T0,444,B04,gradient_444.B04,Experimental,Hydrastinine hydrochloride,1.66666666666667,0.3335
gradient_444,gradient,T0,444,B05,gradient_444.B05,Control,DMSO,5,0.329
gradient_444,gradient,T0,444,B06,gradient_444.B06,Control,DMSO,5,0.3256
gradient_444,gradient,T0,444,B07,gradient_444.B07,Control,DMSO,5,0.3401
gradient_444,gradient,T0,444,B08,gradient_444.B08,Control,DMSO,5,0.3345
gradient_444,gradient,T0,444,B09,gradient_444.B09,Control,DMSO,5,0.3389
gradient_444,gradient,T0,444,B10,gradient_444.B10,Control,DMSO,5,0.3368
gradient_444,gradient,T0,444,B11,gradient_444.B11,Control,DMSO,5,0.3428
gradient_444,gradient,T0,444,B12,gradient_444.B12,Control,DMSO,5,0.3468
gradient_444,gradient,T0,444,B13,gradient_444.B13,Experimental,Remerine HCl,5,0.3402
gradient_444,gradient,T0,444,B14,gradient_444.B14,Control,DMSO,5,0.3337
gradient_444,gradient,T0,444,B15,gradient_444.B15,Experimental,COUMOPHOS,5,0.3318
gradient_444,gradient,T0,444,B16,gradient_444.B16,Control,DMSO,5,0.338
