Source Plate Name,Source Well,Destination Well,Destination Plate Name,Transfer Volume,compound,concentration,Bicarbonate
Source[1],A1,A01,Destination[1],1500,NaNO3,10,Yes
Source[1],A2,A01,Destination[1],150,K2HPO4,1,Yes
Source[1],A3,A01,Destination[1],75,MgSO4,0.5,Yes
Source[1],B1,A01,Destination[1],150,CaCl2,1,Yes
Source[1],B2,A01,Destination[1],0,EDTA,0,Yes
Source[2],A3,A01,Destination[1],150,Na2CO3,1,Yes
Source[1],B3,A01,Destination[1],0,Citrate,0,Yes
Source[2],B3,A01,Destination[1],150,Trace elements,1,Yes
Source[1],A1,A02,Destination[1],0,NaNO3,0,Yes
Source[1],A2,A02,Destination[1],75,K2HPO4,0.5,Yes
Source[1],A3,A02,Destination[1],0,MgSO4,0,Yes
Source[1],B1,A02,Destination[1],0,CaCl2,0,Yes
Source[1],B2,A02,Destination[1],75,EDTA,0.5,Yes
Source[2],A3,A02,Destination[1],0,Na2CO3,0,Yes
Source[1],B3,A02,Destination[1],0,Citrate,0,Yes
Source[2],B3,A02,Destination[1],75,Trace elements,0.5,Yes
Source[1],A1,A03,Destination[1],0,NaNO3,0,Yes
Source[1],A2,A03,Destination[1],75,K2HPO4,0.5,Yes
Source[1],A3,A03,Destination[1],150,MgSO4,1,Yes
Source[1],B1,A03,Destination[1],0,CaCl2,0,Yes
Source[1],B2,A03,Destination[1],150,EDTA,1,Yes
Source[2],A3,A03,Destination[1],75,Na2CO3,0.5,Yes
Source[1],B3,A03,Destination[1],75,Citrate,0.5,Yes
Source[2],B3,A03,Destination[1],0,Trace elements,0,Yes
Source[1],A1,A04,Destination[1],0,NaNO3,0,Yes
Source[1],A2,A04,Destination[1],150,K2HPO4,1,Yes
Source[1],A3,A04,Destination[1],0,MgSO4,0,Yes
Source[1],B1,A04,Destination[1],0,CaCl2,0,Yes
Source[1],B2,A04,Destination[1],0,EDTA,0,Yes
Source[2],A3,A04,Destination[1],0,Na2CO3,0,Yes
Source[1],B3,A04,Destination[1],150,Citrate,1,Yes
Source[2],B3,A04,Destination[1],0,Trace elements,0,Yes
Source[1],A1,A05,Destination[1],0,NaNO3,0,Yes
Source[1],A2,A05,Destination[1],75,K2HPO4,0.5,Yes
Source[1],A3,A05,Destination[1],0,MgSO4,0,Yes
Source[1],B1,A05,Destination[1],0,CaCl2,0,Yes
Source[1],B2,A05,Destination[1],0,EDTA,0,Yes
Source[2],A3,A05,Destination[1],150,Na2CO3,1,Yes
Source[1],B3,A05,Destination[1],150,Citrate,1,Yes
Source[2],B3,A05,Destination[1],150,Trace elements,1,Yes
Source[1],A1,A06,Destination[1],1500,NaNO3,10,Yes
Source[1],A2,A06,Destination[1],150,K2HPO4,1,Yes
Source[1],A3,A06,Destination[1],75,MgSO4,0.5,Yes
Source[1],B1,A06,Destination[1],150,CaCl2,1,Yes
Source[1],B2,A06,Destination[1],0,EDTA,0,Yes
Source[2],A3,A06,Destination[1],150,Na2CO3,1,Yes
Source[1],B3,A06,Destination[1],0,Citrate,0,Yes
Source[2],B3,A06,Destination[1],150,Trace elements,1,Yes
Source[1],A1,A07,Destination[1],750,NaNO3,5,Yes
Source[1],A2,A07,Destination[1],75,K2HPO4,0.5,Yes
Source[1],A3,A07,Destination[1],0,MgSO4,0,Yes
Source[1],B1,A07,Destination[1],75,CaCl2,0.5,Yes
Source[1],B2,A07,Destination[1],0,EDTA,0,Yes
Source[2],A3,A07,Destination[1],150,Na2CO3,1,Yes
Source[1],B3,A07,Destination[1],75,Citrate,0.5,Yes
Source[2],B3,A07,Destination[1],75,Trace elements,0.5,Yes
Source[1],A1,A08,Destination[1],0,NaNO3,0,Yes
Source[1],A2,A08,Destination[1],150,K2HPO4,1,Yes
Source[1],A3,A08,Destination[1],75,MgSO4,0.5,Yes
Source[1],B1,A08,Destination[1],0,CaCl2,0,Yes
Source[1],B2,A08,Destination[1],0,EDTA,0,Yes
Source[2],A3,A08,Destination[1],150,Na2CO3,1,Yes
Source[1],B3,A08,Destination[1],0,Citrate,0,Yes
Source[2],B3,A08,Destination[1],0,Trace elements,0,Yes
Source[1],A1,A09,Destination[1],1500,NaNO3,10,Yes
Source[1],A2,A09,Destination[1],75,K2HPO4,0.5,Yes
Source[1],A3,A09,Destination[1],0,MgSO4,0,Yes
Source[1],B1,A09,Destination[1],75,CaCl2,0.5,Yes
Source[1],B2,A09,Destination[1],150,EDTA,1,Yes
Source[2],A3,A09,Destination[1],150,Na2CO3,1,Yes
Source[1],B3,A09,Destination[1],0,Citrate,0,Yes
Source[2],B3,A09,Destination[1],150,Trace elements,1,Yes
Source[1],A1,A10,Destination[1],750,NaNO3,5,Yes
Source[1],A2,A10,Destination[1],75,K2HPO4,0.5,Yes
Source[1],A3,A10,Destination[1],150,MgSO4,1,Yes
Source[1],B1,A10,Destination[1],0,CaCl2,0,Yes
Source[1],B2,A10,Destination[1],0,EDTA,0,Yes
Source[2],A3,A10,Destination[1],0,Na2CO3,0,Yes
Source[1],B3,A10,Destination[1],0,Citrate,0,Yes
Source[2],B3,A10,Destination[1],150,Trace elements,1,Yes
Source[1],A1,A11,Destination[1],750,NaNO3,5,Yes
Source[1],A2,A11,Destination[1],150,K2HPO4,1,Yes
Source[1],A3,A11,Destination[1],0,MgSO4,0,Yes
Source[1],B1,A11,Destination[1],0,CaCl2,0,Yes
Source[1],B2,A11,Destination[1],75,EDTA,0.5,Yes
Source[2],A3,A11,Destination[1],75,Na2CO3,0.5,Yes
Source[1],B3,A11,Destination[1],75,Citrate,0.5,Yes
Source[2],B3,A11,Destination[1],150,Trace elements,1,Yes
Source[1],A1,A12,Destination[1],1500,NaNO3,10,Yes
Source[1],A2,A12,Destination[1],150,K2HPO4,1,Yes
Source[1],A3,A12,Destination[1],150,MgSO4,1,Yes
Source[1],B1,A12,Destination[1],0,CaCl2,0,Yes
Source[1],B2,A12,Destination[1],150,EDTA,1,Yes
Source[2],A3,A12,Destination[1],0,Na2CO3,0,Yes
Source[1],B3,A12,Destination[1],0,Citrate,0,Yes
Source[2],B3,A12,Destination[1],75,Trace elements,0.5,Yes
Source[1],A1,A13,Destination[1],0,NaNO3,0,Yes
Source[1],A2,A13,Destination[1],75,K2HPO4,0.5,Yes
Source[1],A3,A13,Destination[1],0,MgSO4,0,Yes
Source[1],B1,A13,Destination[1],0,CaCl2,0,Yes
Source[1],B2,A13,Destination[1],75,EDTA,0.5,Yes
Source[2],A3,A13,Destination[1],0,Na2CO3,0,Yes
Source[1],B3,A13,Destination[1],0,Citrate,0,Yes
Source[2],B3,A13,Destination[1],75,Trace elements,0.5,Yes
Source[1],A1,A14,Destination[1],1500,NaNO3,10,Yes
Source[1],A2,A14,Destination[1],75,K2HPO4,0.5,Yes
Source[1],A3,A14,Destination[1],75,MgSO4,0.5,Yes
Source[1],B1,A14,Destination[1],0,CaCl2,0,Yes
Source[1],B2,A14,Destination[1],150,EDTA,1,Yes
Source[2],A3,A14,Destination[1],150,Na2CO3,1,Yes
Source[1],B3,A14,Destination[1],150,Citrate,1,Yes
Source[2],B3,A14,Destination[1],75,Trace elements,0.5,Yes
Source[1],A1,A15,Destination[1],750,NaNO3,5,Yes
Source[1],A2,A15,Destination[1],0,K2HPO4,0,Yes
Source[1],A3,A15,Destination[1],150,MgSO4,1,Yes
Source[1],B1,A15,Destination[1],75,CaCl2,0.5,Yes
Source[1],B2,A15,Destination[1],150,EDTA,1,Yes
Source[2],A3,A15,Destination[1],150,Na2CO3,1,Yes
Source[1],B3,A15,Destination[1],0,Citrate,0,Yes
Source[2],B3,A15,Destination[1],75,Trace elements,0.5,Yes
Source[1],A1,A16,Destination[1],1500,NaNO3,10,Yes
Source[1],A2,A16,Destination[1],75,K2HPO4,0.5,Yes
Source[1],A3,A16,Destination[1],75,MgSO4,0.5,Yes
Source[1],B1,A16,Destination[1],150,CaCl2,1,Yes
Source[1],B2,A16,Destination[1],75,EDTA,0.5,Yes
Source[2],A3,A16,Destination[1],75,Na2CO3,0.5,Yes
Source[1],B3,A16,Destination[1],75,Citrate,0.5,Yes
Source[2],B3,A16,Destination[1],75,Trace elements,0.5,Yes
Source[1],A1,A17,Destination[1],750,NaNO3,5,Yes
Source[1],A2,A17,Destination[1],150,K2HPO4,1,Yes
Source[1],A3,A17,Destination[1],0,MgSO4,0,Yes
Source[1],B1,A17,Destination[1],0,CaCl2,0,Yes
Source[1],B2,A17,Destination[1],75,EDTA,0.5,Yes
Source[2],A3,A17,Destination[1],75,Na2CO3,0.5,Yes
