measurement_ID,plate_ID,timepoint,time,datetime,wavelength,well,OD1,OD2,OD3,OD4
2973_750,2973,T0,23-08-05 20-43-03,2023-08-05 20:43:03,750,A01,0.1298,0.1298,0.1262,0.132
2973_750,2973,T0,23-08-05 20-43-03,2023-08-05 20:43:03,750,A02,0.1076,0.1053,0.1113,0.1135
2973_750,2973,T0,23-08-05 20-43-03,2023-08-05 20:43:03,750,A03,0.111,0.1286,0.1163,0.1153
2973_750,2973,T0,23-08-05 20-43-03,2023-08-05 20:43:03,750,A04,0.1129,0.1079,0.1054,0.1064
2973_750,2973,T0,23-08-05 20-43-03,2023-08-05 20:43:03,750,A05,0.1229,0.1156,0.1103,0.1132
2973_750,2973,T0,23-08-05 20-43-03,2023-08-05 20:43:03,750,A06,0.1336,0.1355,0.1387,0.1408
2973_750,2973,T0,23-08-05 20-43-03,2023-08-05 20:43:03,750,A07,0.1106,0.1089,0.1095,0.1192
2973_750,2973,T0,23-08-05 20-43-03,2023-08-05 20:43:03,750,A08,0.1149,0.1169,0.111,0.1147
2973_750,2973,T0,23-08-05 20-43-03,2023-08-05 20:43:03,750,A09,0.1112,0.1127,0.1186,0.1209
2973_750,2973,T0,23-08-05 20-43-03,2023-08-05 20:43:03,750,A10,0.1028,0.1105,0.1104,0.113
2973_750,2973,T0,23-08-05 20-43-03,2023-08-05 20:43:03,750,A11,0.1021,0.1073,0.1082,0.1089
2973_750,2973,T0,23-08-05 20-43-03,2023-08-05 20:43:03,750,A12,0.1101,0.1344,0.1235,0.1109
2973_750,2973,T0,23-08-05 20-43-03,2023-08-05 20:43:03,750,A13,0.1092,0.1037,0.1133,0.1062
2973_750,2973,T0,23-08-05 20-43-03,2023-08-05 20:43:03,750,A14,0.1045,0.1049,0.1221,0.1122
2973_750,2973,T0,23-08-05 20-43-03,2023-08-05 20:43:03,750,A15,0.1114,0.1088,0.1307,0.1145
2973_750,2973,T0,23-08-05 20-43-03,2023-08-05 20:43:03,750,A16,0.1116,0.1132,0.1125,0.1152
2973_750,2973,T0,23-08-05 20-43-03,2023-08-05 20:43:03,750,A17,0.1057,0.1043,0.1084,0.1111
2973_750,2973,T0,23-08-05 20-43-03,2023-08-05 20:43:03,750,A18,0.1196,0.1273,0.1193,0.1205
2973_750,2973,T0,23-08-05 20-43-03,2023-08-05 20:43:03,750,A19,0.101,0.109,0.114,0.1022
2973_750,2973,T0,23-08-05 20-43-03,2023-08-05 20:43:03,750,A20,0.1074,0.1093,0.1116,0.1067
2973_750,2973,T0,23-08-05 20-43-03,2023-08-05 20:43:03,750,A21,0.1097,0.1086,0.1152,0.1054
