strain,Source,Logworth,p-value
UTEX2973,NaNO3,19.789,0
UTEX2973,MgSO4,17.666,0
UTEX2973,NaNO3*NaNO3,15.927,0
UTEX2973,K2HPO4,14.423,0
UTEX2973,MgSO4*MgSO4,13.313,0
UTEX2973,NaNO3*MgSO4,8.571,0
UTEX2973,K2HPO4*K2HPO4,7.856,0
UTEX2973,K2HPO4*MgSO4,7.045,0
UTEX2973,EDTA*Trace elements,3.565,0.00027
UTEX2973,Citrate,3.479,0.00033
UTEX2973,CaCl2,3.243,0.00057
UTEX2973,Na2CO3*Trace elements,3.236,0.00058
UTEX2973,NaNO3*K2HPO4,3.046,0.0009
UTEX2973,Trace elements*Trace elements,2.591,0.00257
UTEX2973,Citrate*Citrate,2.533,0.00293
UTEX2973,EDTA*Citrate,2.319,0.0048
UTEX2973,EDTA*Na2CO3,2.249,0.00564
UTEX2973,Na2CO3,1.778,0.01668
UTEX2973,NaNO3*EDTA,1.738,0.01828
UTEX2973,MgSO4*Citrate,1.656,0.0221
UTEX2973,EDTA*EDTA,1.587,0.02585
UTEX2973,CaCl2*CaCl2,1.563,0.02736
UTEX2973,CaCl2*Na2CO3,1.396,0.0402
UTEX2973,MgSO4*Na2CO3,1.343,0.04541
UTEX2973,MgSO4*EDTA,0.949,0.11259
UTEX2973,CaCl2*Citrate,0.802,0.1577
UTEX2973,NaNO3*Na2CO3,0.723,0.18903
UTEX2973,Citrate*Trace elements,0.7,0.19971
UTEX2973,Na2CO3*Citrate,0.623,0.23833
UTEX2973,K2HPO4*Citrate,0.493,0.3214
UTEX2973,MgSO4*CaCl2,0.479,0.33209
UTEX2973,CaCl2*EDTA,0.448,0.35657
UTEX2973,Trace elements,0.433,0.36895
UTEX2973,K2HPO4*Na2CO3,0.233,0.58433
UTEX2973,CaCl2*Trace elements,0.209,0.61776
UTEX2973,MgSO4*Trace elements,0.191,0.64405
UTEX2973,K2HPO4*EDTA,0.186,0.6517
UTEX2973,K2HPO4*Trace elements,0.146,0.71381
UTEX2973,NaNO3*CaCl2,0.109,0.77763
UTEX2973,NaNO3*Trace elements,0.092,0.80848
UTEX2973,K2HPO4*CaCl2,0.075,0.84174
UTEX2973,Na2CO3*Na2CO3,0.065,0.86134
UTEX2973,NaNO3*Citrate,0.043,0.90622
UTEX2973,EDTA,0.006,0.98698
UTEX2973_C,NaNO3,34.261,0
UTEX2973_C,MgSO4*MgSO4,22.03,0
UTEX2973_C,MgSO4,21.476,0
UTEX2973_C,K2HPO4,17.642,0
UTEX2973_C,NaNO3*MgSO4,12.537,0
UTEX2973_C,NaNO3*NaNO3,12.16,0
UTEX2973_C,NaNO3*K2HPO4,11.346,0
UTEX2973_C,K2HPO4*K2HPO4,10.771,0
UTEX2973_C,K2HPO4*MgSO4,9.415,0
UTEX2973_C,CaCl2,8.196,0
UTEX2973_C,Citrate,5.506,0
UTEX2973_C,Na2CO3*Citrate,5.157,0.00001
UTEX2973_C,K2HPO4*Na2CO3,4.291,0.00005
UTEX2973_C,NaNO3*Trace elements,3.571,0.00027
UTEX2973_C,CaCl2*CaCl2,3.385,0.00041
UTEX2973_C,Citrate*Citrate,3.131,0.00074
UTEX2973_C,MgSO4*CaCl2,2.087,0.00819
UTEX2973_C,NaNO3*Na2CO3,1.913,0.01221
UTEX2973_C,Trace elements*Trace elements,1.791,0.01619
UTEX2973_C,Trace elements,1.716,0.01923
UTEX2973_C,NaNO3*Citrate,1.605,0.02483
UTEX2973_C,EDTA*Na2CO3,1.576,0.02652
UTEX2973_C,EDTA*EDTA,1.447,0.0357
UTEX2973_C,K2HPO4*Citrate,1.251,0.05608
UTEX2973_C,CaCl2*Citrate,1.068,0.08541
UTEX2973_C,Na2CO3,1.045,0.09015
UTEX2973_C,MgSO4*Citrate,1.037,0.0919
UTEX2973_C,NaNO3*EDTA,1.035,0.09228
UTEX2973_C,Na2CO3*Na2CO3,1.032,0.09295
UTEX2973_C,EDTA*Trace elements,0.869,0.13532
UTEX2973_C,CaCl2*Na2CO3,0.868,0.13542
UTEX2973_C,K2HPO4*CaCl2,0.858,0.13878
UTEX2973_C,K2HPO4*Trace elements,0.735,0.18412
UTEX2973_C,K2HPO4*EDTA,0.68,0.20898
UTEX2973_C,NaNO3*CaCl2,0.56,0.27543
UTEX2973_C,Na2CO3*Trace elements,0.356,0.44017
UTEX2973_C,CaCl2*EDTA,0.354,0.44305
UTEX2973_C,EDTA,0.247,0.56611
UTEX2973_C,EDTA*Citrate,0.232,0.58633
UTEX2973_C,Citrate*Trace elements,0.226,0.59455
UTEX2973_C,MgSO4*Na2CO3,0.213,0.61246
UTEX2973_C,MgSO4*Trace elements,0.12,0.75926
UTEX2973_C,CaCl2*Trace elements,0.035,0.92207
UTEX2973_C,MgSO4*EDTA,0.011,0.97607
UTEX90,NaNO3,32.955,0
UTEX90,CaCl2,32.954,0
UTEX90,MgSO4*MgSO4,31.124,0
UTEX90,Na2CO3*Citrate,21.772,0
UTEX90,NaNO3*NaNO3,20.026,0
UTEX90,MgSO4,18.818,0
UTEX90,K2HPO4*K2HPO4,17.945,0
UTEX90,Citrate,13.173,0
UTEX90,NaNO3*MgSO4,12.516,0
UTEX90,MgSO4*CaCl2,10.824,0
UTEX90,K2HPO4,10.637,0
UTEX90,Citrate*Citrate,9.898,0
UTEX90,EDTA*EDTA,8.529,0
UTEX90,NaNO3*CaCl2,8.266,0
UTEX90,NaNO3*Trace elements,8.047,0
UTEX90,K2HPO4*CaCl2,7.799,0
UTEX90,K2HPO4*Citrate,7.596,0
UTEX90,K2HPO4*Na2CO3,6.805,0
UTEX90,NaNO3*K2HPO4,6.792,0
UTEX90,NaNO3*Na2CO3,5.385,0
UTEX90,K2HPO4*MgSO4,4.125,0.00008
UTEX90,Na2CO3,3.416,0.00038
UTEX90,MgSO4*Citrate,3.385,0.00041
UTEX90,CaCl2*CaCl2,2.793,0.00161
UTEX90,CaCl2*Citrate,2.318,0.00481
UTEX90,EDTA*Citrate,2.132,0.00738
UTEX90,Na2CO3*Trace elements,2,0.00999
UTEX90,K2HPO4*EDTA,1.954,0.01112
UTEX90,NaNO3*Citrate,1.894,0.01276
UTEX90,Trace elements,1.735,0.01843
UTEX90,CaCl2*EDTA,1.631,0.0234
UTEX90,EDTA,1.529,0.02959
UTEX90,EDTA*Trace elements,1.512,0.03078
UTEX90,K2HPO4*Trace elements,1.39,0.04078
UTEX90,CaCl2*Na2CO3,1.303,0.04977
UTEX90,Na2CO3*Na2CO3,1.241,0.05738
UTEX90,CaCl2*Trace elements,0.745,0.18002
UTEX90,Citrate*Trace elements,0.713,0.1936
UTEX90,MgSO4*EDTA,0.517,0.30438
UTEX90,Trace elements*Trace elements,0.384,0.41323
UTEX90,EDTA*Na2CO3,0.31,0.49022
UTEX90,NaNO3*EDTA,0.252,0.55933
UTEX90,MgSO4*Trace elements,0.132,0.7377
UTEX90,MgSO4*Na2CO3,0.118,0.76146
UTEX90_C,NaNO3,42.523,0
UTEX90_C,MgSO4*MgSO4,30.6,0
UTEX90_C,MgSO4,29.861,0
UTEX90_C,K2HPO4,22.475,0
