plate_ID,timepoint,well,Type,Compound,Concentration,OD,median
gradient1,T0,A01,Compound,Coumaphos,10,0.16585,0.163
gradient1,T0,A02,Compound,Bephenium Hydroxynaphthoate,3,0.15760000000000002,0.163
gradient1,T0,A04,Compound,dl-alpha-methyl-p-tyrosine,12,0.1686,0.163
gradient1,T0,A05,Compound,Bephenium Hydroxynaphthoate,15,0.1676,0.163
gradient1,T0,A06,Compound,Bephenium Hydroxynaphthoate,5,0.1628,0.163
gradient1,T0,A07,Compound,Coumaphos,8,0.1635,0.163
gradient1,T0,A08,Compound,Coumaphos,6,0.16870000000000002,0.163
gradient1,T0,A09,Compound,dl-alpha-methyl-p-tyrosine,15,0.17075,0.163
gradient1,T0,A10,Compound,dl-alpha-methyl-p-tyrosine,3,0.1678,0.163
gradient1,T0,A11,Compound,Coumaphos,5,0.17159999999999995,0.163
gradient1,T0,A12,Compound,Coumaphos,15,0.18465,0.163
gradient1,T0,A13,Compound,dl-alpha-methyl-p-tyrosine,4,0.1681,0.163
gradient1,T0,A14,Compound,Bephenium Hydroxynaphthoate,0.1,0.16325,0.163
gradient1,T0,A15,Compound,dl-alpha-methyl-p-tyrosine,3,0.1684,0.163
gradient1,T0,A16,Compound,Bephenium Hydroxynaphthoate,4,0.1662,0.163
gradient1,T0,A17,Compound,Bephenium Hydroxynaphthoate,6,0.16945,0.163
gradient1,T0,A18,Compound,dl-alpha-methyl-p-tyrosine,5,0.16260000000000002,0.163
gradient1,T0,A19,Compound,Coumaphos,5,0.16645,0.163
gradient1,T0,A20,Compound,dl-alpha-methyl-p-tyrosine,2,0.16135,0.163
gradient1,T0,A21,Compound,Coumaphos,4,0.1692,0.163
gradient1,T0,A22,Compound,Bephenium Hydroxynaphthoate,5,0.1603,0.163
gradient1,T0,A23,Compound,dl-alpha-methyl-p-tyrosine,15,0.16265000000000002,0.163
gradient1,T0,A24,Compound,dl-alpha-methyl-p-tyrosine,12,0.16055,0.163
gradient1,T0,B01,Compound,dl-alpha-methyl-p-tyrosine,6,0.16745,0.163
gradient1,T0,B02,Compound,Coumaphos,12,0.17020000000000002,0.163
gradient1,T0,B03,Compound,dl-alpha-methyl-p-tyrosine,2,0.1636,0.163
gradient1,T0,B04,Compound,dl-alpha-methyl-p-tyrosine,6,0.1721,0.163
gradient1,T0,B05,Compound,Bephenium Hydroxynaphthoate,8,0.1673,0.163
gradient1,T0,B06,Compound,Bephenium Hydroxynaphthoate,4,0.1703,0.163
gradient1,T0,B07,Compound,Bephenium Hydroxynaphthoate,1,0.16745,0.163
gradient1,T0,B08,Compound,Bephenium Hydroxynaphthoate,8,0.18175,0.163
gradient1,T0,B09,Compound,Bephenium Hydroxynaphthoate,10,0.1643,0.163
gradient1,T0,B10,Compound,Bephenium Hydroxynaphthoate,1,0.16685,0.163
gradient1,T0,B11,Compound,Bephenium Hydroxynaphthoate,0.5,0.16715000000000002,0.163
gradient1,T0,B12,Compound,Bephenium Hydroxynaphthoate,12,0.16765000000000002,0.163
gradient1,T0,B13,Compound,dl-alpha-methyl-p-tyrosine,6,0.16495,0.163
gradient1,T0,B14,Compound,dl-alpha-methyl-p-tyrosine,8,0.16055,0.163
gradient1,T0,B15,Compound,Coumaphos,4,0.1642,0.163
gradient1,T0,B16,Compound,Bephenium Hydroxynaphthoate,5,0.1627,0.163
gradient1,T0,B17,Compound,dl-alpha-methyl-p-tyrosine,0.1,0.16305,0.163
gradient1,T0,B19,Compound,Bephenium Hydroxynaphthoate,2,0.15894999999999998,0.163
gradient1,T0,B20,Compound,Coumaphos,12,0.15975,0.163
