ID number,Source Plate&Well,384-Barcode,384-Well,384-Barcode&Well,Chemical name,Formula,MolWt,CAS number
Prestw-1,01A02,SL-000-1209,A03,SL-000-1209A03,Azaguanine-8,C4H4N6O,152.11608,134-58-7
Prestw-2,01A03,SL-000-1209,A05,SL-000-1209A05,Allantoin,C4H6N4O3,158.11742,97-59-6
Prestw-3,01A04,SL-000-1209,A07,SL-000-1209A07,Acetazolamide,C4H6N4O3S2,222.24542,59-66-5
Prestw-4,01A05,SL-000-1209,A09,SL-000-1209A09,Metformin hydrochloride,C4H12ClN5,165.62674,1115-70-4
Prestw-5,01A06,SL-000-1209,A11,SL-000-1209A11,Atracurium besylate,C65H82N2O18S2,1243.50889,64228-81-5
Prestw-6,01A07,SL-000-1209,A13,SL-000-1209A13,Isoflupredone acetate,C23H29FO6,420.48238,338-98-7
Prestw-7,01A08,SL-000-1209,A15,SL-000-1209A15,Amiloride hydrochloride dihydrate,C6H13Cl2N7O3,302.12161,17440-83-4
Prestw-8,01A09,SL-000-1209,A17,SL-000-1209A17,Amprolium hydrochloride,C14H20Cl2N4,315.2483,137-88-2
Prestw-9,01A10,SL-000-1209,A19,SL-000-1209A19,Hydrochlorothiazide,C7H8ClN3O4S2,297.74051,58-93-5
Prestw-10,01A11,SL-000-1209,A21,SL-000-1209A21,Sulfaguanidine,C7H10N4O2S,214.24735,57-67-0
Prestw-11,01B02,SL-000-1209,C03,SL-000-1209C03,Meticrane,C10H13NO4S2,275.34741,1084-65-7
Prestw-12,01B03,SL-000-1209,C05,SL-000-1209C05,Benzonatate,C30H53NO11,603.75701,104-31-4
Prestw-13,01B04,SL-000-1209,C07,SL-000-1209C07,Hydroflumethiazide,C8H8F3N3O4S2,331.29386,135-09-1
Prestw-14,01B05,SL-000-1209,C09,SL-000-1209C09,Sulfacetamide sodic hydrate,C8H11N2NaO4S,254.24167,6209-17-2
Prestw-15,01B06,SL-000-1209,C11,SL-000-1209C11,Heptaminol hydrochloride,C8H20ClNO,181.7077,543-15-7
Prestw-16,01B07,SL-000-1209,C13,SL-000-1209C13,Sulfathiazole,C9H9N3O2S2,255.31898,72-14-0
Prestw-17,01B08,SL-000-1209,C15,SL-000-1209C15,Levodopa,C9H11NO4,197.19232,59-92-7
Prestw-18,01B09,SL-000-1209,C17,SL-000-1209C17,Idoxuridine,C9H11IN2O5,354.10282,54-42-2
Prestw-19,01B10,SL-000-1209,C19,SL-000-1209C19,Captopril,C9H15NO3S,217.2888,62571-86-2
Prestw-20,01B11,SL-000-1209,C21,SL-000-1209C21,Minoxidil,C9H15N5O,209.2528,38304-91-5
Prestw-21,01C02,SL-000-1209,E03,SL-000-1209E03,Sulfaphenazole,C15H14N4O2S,314.36843,526-08-9
Prestw-22,01C03,SL-000-1209,E05,SL-000-1209E05,Panthenol (D),C9H19NO4,205.25608,81-13-0
Prestw-23,01C04,SL-000-1209,E07,SL-000-1209E07,Sulfadiazine,C10H10N4O2S,250.2808,68-35-9
Prestw-24,01C05,SL-000-1209,E09,SL-000-1209E09,Norethynodrel,C20H26O2,298.42902,68-23-5
Prestw-25,01C06,SL-000-1209,E11,SL-000-1209E11,Thiamphenicol,C12H15Cl2NO5S,356.22705,15318-45-3
Prestw-26,01C07,SL-000-1209,E13,SL-000-1209E13,Cimetidine,C10H16N6S,252.34322,51481-61-9
Prestw-27,01C08,SL-000-1209,E15,SL-000-1209E15,Doxylamine succinate,C21H28N2O5,388.46771,562-10-7
Prestw-28,01C09,SL-000-1209,E17,SL-000-1209E17,Ethambutol dihydrochloride,C10H26Cl2N2O2,277.23692,1070-11-7
Prestw-29,01C10,SL-000-1209,E19,SL-000-1209E19,Antipyrine,C11H12N2O,188.23109,60-80-0
Prestw-30,01C11,SL-000-1209,E21,SL-000-1209E21,"Antipyrine, 4-hydroxy",C11H12N2O2,204.23049,1672-63-5
Prestw-31,01D02,SL-000-1209,G03,SL-000-1209G03,Chloramphenicol,C11H12Cl2N2O5,323.13469,56-75-7
Prestw-32,01D03,SL-000-1209,G05,SL-000-1209G05,Epirizole,C11H14N4O2,234.25983,18694-40-1
Prestw-33,01D04,SL-000-1209,G07,SL-000-1209G07,Diprophylline,C10H14N4O4,254.24748,479-18-5
Prestw-34,01D05,SL-000-1209,G09,SL-000-1209G09,Triamterene,C12H11N7,253.26837,396-01-0
Prestw-35,01D06,SL-000-1209,G11,SL-000-1209G11,Dapsone,C12H12N2O2S,248.30564,80-08-0
Prestw-36,01D07,SL-000-1209,G13,SL-000-1209G13,Troleandomycin,C41H67NO15,813.98884,2751-09-9
Prestw-37,01D08,SL-000-1209,G15,SL-000-1209G15,Pyrimethamine,C12H13ClN4,248.71721,58-14-0
Prestw-38,01D09,SL-000-1209,G17,SL-000-1209G17,Hexamethonium dibromide dihydrate,C12H34Br2N2O2,398.22498,55-97-0
Prestw-39,01D10,SL-000-1209,G19,SL-000-1209G19,Diflunisal,C13H8F2O3,250.20371,22494-42-4
Prestw-40,01D11,SL-000-1209,G21,SL-000-1209G21,Niclosamide,C13H8Cl2N2O4,327.12571,50-65-7
Prestw-41,01E02,SL-000-1209,I03,SL-000-1209I03,Procaine hydrochloride,C13H21ClN2O2,272.77752,51-05-8
Prestw-42,01E03,SL-000-1209,I05,SL-000-1209I05,Moxisylyte hydrochoride,C16H26ClNO3,315.84352,964-52-3
Prestw-43,01E04,SL-000-1209,I07,SL-000-1209I07,Betazole hydrochloride,C5H11Cl2N3,184.06952,
Prestw-44,01E05,SL-000-1209,I09,SL-000-1209I09,Isoxicam,C14H13N3O5S,335.34081,34552-84-6
Prestw-45,01E06,SL-000-1209,I11,SL-000-1209I11,Naproxen,C14H14O3,230.26588,22204-53-1
Prestw-46,01E07,SL-000-1209,I13,SL-000-1209I13,Naphazoline hydrochloride,C14H15ClN2,246.74205,550-99-2
Prestw-47,01E08,SL-000-1209,I15,SL-000-1209I15,Ticlopidine hydrochloride,C14H15Cl2NS,300.25235,53885-35-1
Prestw-48,01E09,SL-000-1209,I17,SL-000-1209I17,Dicyclomine hydrochloride,C19H36ClNO2,345.95727,67-92-5
Prestw-49,01E10,SL-000-1209,I19,SL-000-1209I19,Amyleine hydrochloride,C14H22ClNO2,271.78994,532-59-2
Prestw-50,01E11,SL-000-1209,I21,SL-000-1209I21,Lidoca•ne hydrochloride,C14H23ClN2O,270.80521,73-78-9
Prestw-51,01F02,SL-000-1209,K03,SL-000-1209K03,Trichlorfon,C4H8Cl3O4P,257.43876,52-68-6
Prestw-52,01F03,SL-000-1209,K05,SL-000-1209K05,Carbamazepine,C15H12N2O,236.27569,298-46-4
Prestw-53,01F04,SL-000-1209,K07,SL-000-1209K07,Triflupromazine hydrochloride,C18H20ClF3N2S,388.8857,1098-60-8
Prestw-54,01F05,SL-000-1209,K09,SL-000-1209K09,Mefenamic acid,C15H15NO2,241.2923,61-68-7
Prestw-55,01F06,SL-000-1209,K11,SL-000-1209K11,Acetohexamide,C15H20N2O4S,324.40165,968-81-0
Prestw-56,01F07,SL-000-1209,K13,SL-000-1209K13,Sulpiride,C15H23N3O4S,341.43226,15676-16-1
Prestw-57,01F08,SL-000-1209,K15,SL-000-1209K15,Benoxinate hydrochloride,C17H29ClN2O3,344.88528,5987-82-6
Prestw-58,01F09,SL-000-1209,K17,SL-000-1209K17,Oxethazaine,C28H41N3O3,467.65727,126-27-2
Prestw-59,01F10,SL-000-1209,K19,SL-000-1209K19,Pheniramine maleate,C20H24N2O4,356.42528,132-20-7
Prestw-60,01F11,SL-000-1209,K21,SL-000-1209K21,Tolazoline hydrochloride,C10H13ClN2,196.68151,59-97-2
Prestw-61,01G02,SL-000-1209,M03,SL-000-1209M03,Morantel tartrate,C16H22N2O6S,370.42754,26155-31-7
Prestw-62,01G03,SL-000-1209,M05,SL-000-1209M05,"Homatropine hydrobromide (R,S)",C16H22BrNO3,356.26264,51-56-9
