Source Plate Name,Source Well,Destination Plate Name,Destination Well,Transfer Volume,Type,Chemical name
1230,A06,Destination[1],B03,75,Hit,PHENYLMERCURIC ACETATE
1209,H11,Destination[1],B04,25,Hit,Hydrastinine hydrochloride
1258,A20,Destination[1],B13,75,Hit,Remerine HCl
1236,L13,Destination[1],B15,75,Hit,COUMOPHOS
1230,A06,Destination[1],B18,25,Hit,PHENYLMERCURIC ACETATE
1258,A20,Destination[1],B19,25,Hit,Remerine HCl
1212,P10,Destination[1],B20,75,Hit,Riboflavine
1212,F20,Destination[1],B21,50,Hit,Bicuculline (+)
1255,J09,Destination[1],C02,50,Hit,Tetraethylthiuram disulfide
1255,J21,Destination[1],C05,100,Hit,Pifithrin-mu
1258,O11,Destination[1],C06,25,Hit,Gliotoxin
1212,P10,Destination[1],C07,50,Hit,Riboflavine
1255,J09,Destination[1],C09,75,Hit,Tetraethylthiuram disulfide
1224,G11,Destination[1],C10,25,Hit,BICUCULLINE (+)
1224,H20,Destination[1],C12,25,Hit,HYDRASTININE HYDROCHLORIDE
1255,N18,Destination[1],C14,75,Hit,WB 64
1255,J09,Destination[1],C16,100,Hit,Tetraethylthiuram disulfide
1224,H20,Destination[1],C17,100,Hit,HYDRASTININE HYDROCHLORIDE
1236,B10,Destination[1],C20,50,Hit,METHYL 7-DESHYDROXYPYROGALLIN-4-CARBOXYLATE
1224,H11,Destination[1],C23,100,Hit,GOSSYPETIN
1224,H11,Destination[1],D09,50,Hit,GOSSYPETIN
1215,F04,Destination[1],D11,100,Hit,Hymecromone
1258,O11,Destination[1],D12,100,Hit,Gliotoxin
1258,I14,Destination[1],D13,50,Hit,Tunicamycin B
1227,F22,Destination[1],D19,100,Hit,NAFCILLIN SODIUM
1227,F22,Destination[1],D23,75,Hit,NAFCILLIN SODIUM
1255,N18,Destination[1],E10,100,Hit,WB 64
1224,G11,Destination[1],E16,75,Hit,BICUCULLINE (+)
1236,E12,Destination[1],E17,75,Hit,PUERARIN
1209,C16,Destination[1],F04,25,Hit,Disulfiram
1255,J21,Destination[1],F09,25,Hit,Pifithrin-mu
1209,H11,Destination[1],F11,75,Hit,Hydrastinine hydrochloride
1227,F22,Destination[1],F15,50,Hit,NAFCILLIN SODIUM
1239,E09,Destination[1],F21,100,Hit,BEPHENIUM HYDROXYNAPTHOATE
1243,A03,Destination[1],F22,50,Hit,DL-alpha-Methyl-p-tyrosine
1236,B10,Destination[1],G03,100,Hit,METHYL 7-DESHYDROXYPYROGALLIN-4-CARBOXYLATE
1227,H15,Destination[1],G10,75,Hit,GENTIAN VIOLET
1236,L13,Destination[1],G13,25,Hit,COUMOPHOS
1236,M12,Destination[1],G15,50,Hit,BICUCULLINE(-) METHIODIDE
1239,E09,Destination[1],G18,25,Hit,BEPHENIUM HYDROXYNAPTHOATE
1230,A06,Destination[1],G22,100,Hit,PHENYLMERCURIC ACETATE
1215,F04,Destination[1],H10,25,Hit,Hymecromone
1236,M12,Destination[1],H12,25,Hit,BICUCULLINE(-) METHIODIDE
1215,F04,Destination[1],H16,75,Hit,Hymecromone
1258,O11,Destination[1],H17,75,Hit,Gliotoxin
1236,M12,Destination[1],H22,75,Hit,BICUCULLINE(-) METHIODIDE
1227,G21,Destination[1],H23,50,Hit,RIBOFLAVIN
1243,A03,Destination[1],I02,25,Hit,DL-alpha-Methyl-p-tyrosine
