measurement_ID,row,column,value,well,wavelength,gossypetin,condition,solution
300 nm,B,03,0.691853,B03,300,0,UTEX 2973,BG11
300 nm,C,03,0.661003,C03,300,0,UTEX 2973,BG11
300 nm,D,03,0.684463,D03,300,0,UTEX 2973,BG11
300 nm,E,03,0.534017,E03,300,0,BG11,BG11
300 nm,F,03,0.521143,F03,300,0,BG11,BG11
300 nm,G,03,0.522662,G03,300,0,BG11,BG11
301 nm,B,03,0.659114,B03,301,0,UTEX 2973,BG11
301 nm,C,03,0.629595,C03,301,0,UTEX 2973,BG11
301 nm,D,03,0.652558,D03,301,0,UTEX 2973,BG11
301 nm,E,03,0.498876,E03,301,0,BG11,BG11
301 nm,F,03,0.488179,F03,301,0,BG11,BG11
301 nm,G,03,0.49097,G03,301,0,BG11,BG11
302 nm,B,03,0.630807,B03,302,0,UTEX 2973,BG11
302 nm,C,03,0.602731,C03,302,0,UTEX 2973,BG11
302 nm,D,03,0.62473,D03,302,0,UTEX 2973,BG11
302 nm,E,03,0.472277,E03,302,0,BG11,BG11
302 nm,F,03,0.461779,F03,302,0,BG11,BG11
302 nm,G,03,0.465266,G03,302,0,BG11,BG11
303 nm,B,03,0.607133,B03,303,0,UTEX 2973,BG11
303 nm,C,03,0.580307,C03,303,0,UTEX 2973,BG11
303 nm,D,03,0.601833,D03,303,0,UTEX 2973,BG11
303 nm,E,03,0.450417,E03,303,0,BG11,BG11
303 nm,F,03,0.439637,F03,303,0,BG11,BG11
303 nm,G,03,0.443625,G03,303,0,BG11,BG11
304 nm,B,03,0.586599,B03,304,0,UTEX 2973,BG11
304 nm,C,03,0.560796,C03,304,0,UTEX 2973,BG11
304 nm,D,03,0.582017,D03,304,0,UTEX 2973,BG11
304 nm,E,03,0.431253,E03,304,0,BG11,BG11
304 nm,F,03,0.420433,F03,304,0,BG11,BG11
304 nm,G,03,0.42501100000000003,G03,304,0,BG11,BG11
305 nm,B,03,0.564761,B03,305,0,UTEX 2973,BG11
305 nm,C,03,0.540066,C03,305,0,UTEX 2973,BG11
305 nm,D,03,0.560975,D03,305,0,UTEX 2973,BG11
305 nm,E,03,0.411111,E03,305,0,BG11,BG11
305 nm,F,03,0.400247,F03,305,0,BG11,BG11
305 nm,G,03,0.405345,G03,305,0,BG11,BG11
306 nm,B,03,0.550755,B03,306,0,UTEX 2973,BG11
306 nm,C,03,0.526781,C03,306,0,UTEX 2973,BG11
306 nm,D,03,0.547375,D03,306,0,UTEX 2973,BG11
306 nm,E,03,0.398395,E03,306,0,BG11,BG11
306 nm,F,03,0.387527,F03,306,0,BG11,BG11
306 nm,G,03,0.392759,G03,306,0,BG11,BG11
307 nm,B,03,0.53681,B03,307,0,UTEX 2973,BG11
307 nm,C,03,0.513735,C03,307,0,UTEX 2973,BG11
307 nm,D,03,0.533965,D03,307,0,UTEX 2973,BG11
307 nm,E,03,0.386004,E03,307,0,BG11,BG11
307 nm,F,03,0.375238,F03,307,0,BG11,BG11
307 nm,G,03,0.38061,G03,307,0,BG11,BG11
308 nm,B,03,0.524642,B03,308,0,UTEX 2973,BG11
308 nm,C,03,0.502148,C03,308,0,UTEX 2973,BG11
308 nm,D,03,0.522161,D03,308,0,UTEX 2973,BG11
308 nm,E,03,0.375205,E03,308,0,BG11,BG11
308 nm,F,03,0.3645,F03,308,0,BG11,BG11
308 nm,G,03,0.370004,G03,308,0,BG11,BG11
309 nm,B,03,0.51247,B03,309,0,UTEX 2973,BG11
309 nm,C,03,0.490765,C03,309,0,UTEX 2973,BG11
309 nm,D,03,0.510361,D03,309,0,UTEX 2973,BG11
309 nm,E,03,0.364889,E03,309,0,BG11,BG11
